id,title,release_year,observed_stars,measured_stars,diff,perc_err,sentiment,sentiment_score,review_url
384,Hotel for Dogs,2009,2.5,1.5,1.0,0.6666666666666666,negative,-0.314901,http://www.rogerebert.com/reviews/hotel-for-dogs-2009
385,Vertical Limit,2000,3.0,2.0,1.0,0.5,negative,-0.110325,http://www.rogerebert.com/reviews/vertical-limit-2000
387,Be Cool,2005,1.5,1.5,-0.5,0.25,negative,-0.204497,http://www.rogerebert.com/reviews/be-cool-2005
388,Tears of the Sun,2003,3.0,2.0,1.0,0.5,negative,-0.0504924,http://www.rogerebert.com/reviews/tears-of-the-sun-2003
390,The Man from U.N.C.L.E.,2015,2.0,1.0,0.5,0.3333333333333333,negative,-0.408071,http://www.rogerebert.com/reviews/the-man-from-uncle-2015
391,Spanglish,2004,3.0,2.0,0.5,0.2,positive,0.0509096,http://www.rogerebert.com/reviews/spanglish-2004
392,Bandits,2001,2.0,1.0,1.0,1.0,negative,-0.512637,http://www.rogerebert.com/reviews/bandits-2001
393,Immortals,2011,1.5,1.5,0.0,0.0,negative,-0.286015,http://www.rogerebert.com/reviews/immortals-2011
394,Hostage,2005,3.0,1.5,1.0,0.5,negative,-0.163269,http://www.rogerebert.com/reviews/hostage-2005
395,Titan A.E.,2000,3.5,2.5,1.0,0.4,positive,0.124819,http://www.rogerebert.com/reviews/titan-ae-2000
396,Hollywood Homicide,2003,3.0,1.5,1.0,0.5,negative,-0.21934,http://www.rogerebert.com/reviews/hollywood-homicide-2003
400,Flight of the Phoenix,2004,2.0,1.0,0.5,0.3333333333333333,negative,-0.385579,http://www.rogerebert.com/reviews/flight-of-the-phoenix-2004
401,Unbreakable,2000,3.0,2.0,1.0,0.5,negative,-0.0286985,http://www.rogerebert.com/reviews/unbreakable-2000
402,Minions,2015,3.0,2.0,1.0,0.5,negative,-0.053042,http://www.rogerebert.com/reviews/minions-2015
404,Snake Eyes,1998,1.0,1.5,-1.0,0.5,negative,-0.20557,http://www.rogerebert.com/reviews/snake-eyes-1998
405,Sphere,1998,1.5,1.0,0.0,0.0,negative,-0.388266,http://www.rogerebert.com/reviews/sphere-1998
406,The Angry Birds Movie,2016,1.5,1.0,0.5,0.5,negative,-0.527482,http://www.rogerebert.com/reviews/the-angry-birds-movie-2016
408,Funny People,2009,3.5,2.0,1.0,0.4,positive,0.0857791,http://www.rogerebert.com/reviews/funny-people-2009
411,Dr. Dolittle 2,2001,3.0,2.5,0.0,0.0,positive,0.260158,http://www.rogerebert.com/reviews/dr-dolittle-2-2001
412,Braveheart,1995,3.5,2.0,1.5,0.75,negative,-0.0109046,http://www.rogerebert.com/reviews/braveheart-1995
413,Jarhead,2005,3.5,1.5,2.0,1.3333333333333333,negative,-0.322672,http://www.rogerebert.com/reviews/jarhead-2005
414,The Simpsons Movie,2007,3.0,2.0,0.5,0.2,positive,0.0240226,http://www.rogerebert.com/reviews/the-simpsons-movie-2007
415,The Majestic,2001,3.5,2.5,1.0,0.4,positive,0.113648,http://www.rogerebert.com/reviews/the-majestic-2001
416,Driven,2001,2.5,1.0,1.0,0.6666666666666666,negative,-0.377939,http://www.rogerebert.com/reviews/driven-2001
